index,sentiment,method,negative,positive,litigious,uncertainty,constraining,superfluous
52,4,NRC,22,26,NA,NA,NA,NA
53,11,NRC,29,40,NA,NA,NA,NA
54,12,NRC,23,35,NA,NA,NA,NA
55,-4,NRC,23,19,NA,NA,NA,NA
56,4,NRC,11,15,NA,NA,NA,NA
57,-21,NRC,47,26,NA,NA,NA,NA
58,-3,NRC,40,37,NA,NA,NA,NA
59,8,NRC,29,37,NA,NA,NA,NA
60,16,NRC,12,28,NA,NA,NA,NA
61,6,NRC,7,13,NA,NA,NA,NA
62,20,NRC,20,40,NA,NA,NA,NA
63,-4,NRC,23,19,NA,NA,NA,NA
64,-1,NRC,31,30,NA,NA,NA,NA
65,4,NRC,24,28,NA,NA,NA,NA
66,-6,NRC,32,26,NA,NA,NA,NA
67,2,NRC,33,35,NA,NA,NA,NA
68,-8,NRC,44,36,NA,NA,NA,NA
69,24,NRC,38,62,NA,NA,NA,NA
70,24,NRC,23,47,NA,NA,NA,NA
71,7,NRC,24,31,NA,NA,NA,NA
72,-29,NRC,58,29,NA,NA,NA,NA
73,5,NRC,31,36,NA,NA,NA,NA
74,-9,NRC,39,30,NA,NA,NA,NA
75,-7,NRC,26,19,NA,NA,NA,NA
76,6,NRC,27,33,NA,NA,NA,NA
77,1,NRC,7,8,NA,NA,NA,NA
78,9,NRC,8,17,NA,NA,NA,NA
79,-2,NRC,15,13,NA,NA,NA,NA
80,0,NRC,10,10,NA,NA,NA,NA
81,-10,NRC,34,24,NA,NA,NA,NA
82,-4,NRC,22,18,NA,NA,NA,NA
83,15,NRC,13,28,NA,NA,NA,NA
84,-7,NRC,30,23,NA,NA,NA,NA
85,5,NRC,22,27,NA,NA,NA,NA
86,10,NRC,13,23,NA,NA,NA,NA
87,-10,NRC,21,11,NA,NA,NA,NA
88,16,NRC,15,31,NA,NA,NA,NA
89,13,NRC,28,41,NA,NA,NA,NA
90,-16,NRC,34,18,NA,NA,NA,NA
91,-9,NRC,25,16,NA,NA,NA,NA
92,3,NRC,17,20,NA,NA,NA,NA
93,-7,NRC,23,16,NA,NA,NA,NA
94,16,NRC,16,32,NA,NA,NA,NA
95,-7,NRC,38,31,NA,NA,NA,NA
96,17,NRC,20,37,NA,NA,NA,NA
97,-22,NRC,41,19,NA,NA,NA,NA
98,7,NRC,17,24,NA,NA,NA,NA
99,-15,NRC,27,12,NA,NA,NA,NA
100,2,NRC,31,33,NA,NA,NA,NA
101,-4,NRC,21,17,NA,NA,NA,NA
102,-16,NRC,45,29,NA,NA,NA,NA
103,6,NRC,13,19,NA,NA,NA,NA
104,-11,NRC,30,19,NA,NA,NA,NA
105,0,NRC,18,18,NA,NA,NA,NA
106,13,NRC,12,25,NA,NA,NA,NA
107,10,NRC,8,18,NA,NA,NA,NA
108,31,NRC,22,53,NA,NA,NA,NA
109,5,NRC,30,35,NA,NA,NA,NA
110,2,NRC,19,21,NA,NA,NA,NA
111,4,NRC,0,4,NA,NA,NA,NA
0,-6,Loughran,11,5,1,2,0,0
1,-5,Loughran,7,2,0,0,0,0
2,-5,Loughran,6,1,1,0,0,0
3,1,Loughran,2,3,0,1,0,0
4,0,Loughran,2,2,1,1,0,0
5,2,Loughran,0,2,0,3,0,0
6,-10,Loughran,13,3,1,2,0,0
7,-6,Loughran,8,2,0,4,1,0
8,1,Loughran,3,4,0,3,0,0
9,-2,Loughran,5,3,0,5,0,0
10,-7,Loughran,7,0,0,3,0,0
11,-1,Loughran,4,3,0,7,0,0
12,-4,Loughran,9,5,4,1,1,0
13,0,Loughran,11,11,0,3,1,0
14,-12,Loughran,18,6,3,3,1,0
15,-6,Loughran,10,4,1,7,0,0
16,-7,Loughran,16,9,8,3,1,0
17,4,Loughran,8,12,0,2,2,0
18,8,Loughran,6,14,4,10,2,0
19,4,Loughran,10,14,2,6,0,0
20,-1,Loughran,7,6,3,5,1,1
21,-7,Loughran,18,11,0,5,0,0
22,-9,Loughran,12,3,1,7,0,0
23,-3,Loughran,4,1,0,3,0,0
24,-4,Loughran,10,6,1,8,3,0
